question,answer
"What are the general gym usage rules?","• Wear proper sports attire and shoes.
 • No barefoot workouts.
 • Carry personal towel and water bottle.
 • Wipe down equipment after use.
 • No loud music or shouting.
 • No food, smoking, or alcohol.
 • Return weights to racks after use.
 • Report damaged machines immediately.
 • Maintain hygiene and decorum."
"What safety measures must residents follow?","• Warm up and stretch before exercising.
 • Use safety locks and clips properly.
 • Stop if feeling pain, dizziness, or fatigue.
 • Keep emergency contact details visible.
 • AED and First Aid kits are located at the clubhouse reception.
 • Report any malfunction immediately to FM."
"How often is the gym cleaned and maintained?","• Equipment sanitization – Twice daily.
 • Floor and mirror cleaning – Twice daily.
 • Equipment lubrication – Weekly.
 • AC and electrical checks – Monthly.
 • Pest control – Quarterly.
 • Deep cleaning – Every Monday."
"What are the proper equipment handling rules?","• Limit treadmill and cardio use to 30 minutes during peak hours.
 • Clean shoes before using machines.
 • Use spotters for heavy lifts.
 • Avoid slamming weights.
 • Wipe mats and benches before and after use.
 • Report faulty equipment immediately."
"How is the gym cleaned daily?","Housekeeping cleans:
 • Floors, mirrors, and handles twice daily.
 • Equipment surfaces with disinfectant.
 • Gym mats every evening.
 • Trash bins emptied daily."
"What should be done in case of an injury or emergency?","• Stop workout immediately.
 • Inform the Facility Manager or Security.
 • Use first aid/AED if necessary.
 • Call Ambulance (108) for serious injuries.
 • Record incident in Gym Incident Register.
 • Isolate defective equipment until repaired."
"What are the Do’s and Don’ts for gym users?","✅ **Do’s:**
 • Follow timings and dress code.
 • Wipe machines after use.
 • Share equipment fairly.
 • Keep music low.
 • Register trainers officially.
 
 🚫 **Don’ts:**
 • Don’t bring outsiders or unregistered trainers.
 • Don’t eat or drink (except water).
 • Don’t drop weights.
 • Don’t monopolize machines.
 • Don’t misuse electrical equipment."
"How are issues and complaints handled?","• Equipment malfunction – Facility Manager → Vendor (within 24 hrs)
 • Injury or accident – FM/Security → Secretary (immediate)
 • Cleanliness complaints – Housekeeping → FM (within 1 hr)
 • Misuse or noise issues – Security → FM/Secretary (immediate)
 • Unregistered trainer – FM → Secretary/President (immediate)."
"What records are maintained for gym operations?","• Gym User & Trainer Register.
 • Maintenance and cleaning logs.
 • Incident Register.
 • Vendor AMC & Service Reports.
 All records are retained for a minimum of one year."
"Who is accountable for gym operations and safety?","• **Facility Manager:** Maintenance and safety compliance.
 • **Housekeeping Supervisor:** Hygiene and cleaning.
 • **Security Supervisor:** Access control.
 • **Residents:** Responsible usage.
 • **Secretary & President:** Oversight and enforcement."
"What is the purpose of this SOP?","This SOP defines the rules and responsibilities for the safe, responsible, and fair use of the Indoor Games Room at The ACE Apartments. It ensures proper conduct, protection of community assets, and enjoyable recreation for all residents."
"Who does this SOP apply to?","This SOP applies to all residents (owners and tenants) aged 12 years and above, as well as the UPS Facility Management (FM), Security, and Housekeeping staff responsible for monitoring and maintenance."
"What are the main objectives of this SOP?","• Promote healthy and respectful recreation.
 • Maintain gaming equipment in good condition.
 • Prevent misuse, damage, or theft.
 • Ensure discipline and fairness in shared facilities."
"What is the minimum age for using the Games Room?","The Games Room is strictly for residents aged **12 years and above**. Children below 12 are not permitted, even under adult supervision."
"What are the operating hours of the Games Room?","The Games Room is open from **6:00 AM to 10:00 PM**. Security locks the room after 10:00 PM daily."
"Do residents need to book or reserve the Games Room in advance?","No booking is required. Access is **first-come, first-serve** during operational hours."
"Can guests use the Games Room?","Yes, guests may use the Games Room only if accompanied by a resident. The resident is fully responsible for guest behavior and adherence to rules."
"What games and equipment are available?","The Games Room includes:
 • Table Tennis Table (TT)
 • Foosball Table
 • Carrom Boards
 • Board Games (as provided by the Association)
 All items are community property and must remain in the room after use."
"What are the general usage rules of amenities?","• Handle all equipment with care.
 • No coaching, gambling, or commercial use.
 • No food, drinks, or chewing gum.
 • Maintain silence and avoid loud behavior.
 • Return all accessories (bats, balls, coins) after use.
 • Switch off lights and AC when leaving.
 • Maximum capacity: 10 persons at a time.
 • CCTV surveillance is active to prevent misuse."
"Are children below 12 allowed if parents supervise them?","No. Children below 12 are strictly not allowed inside the Games Room, even under supervision."
"What happens if a resident damages or removes any equipment?","Any damage or loss must be reported immediately. The responsible resident must **replace or pay for damages**. Intentional misuse or theft results in **access suspension, monetary penalty, and escalation to the Association Board**."
"Is there CCTV monitoring inside the Games Room?","Yes, CCTV cameras are installed and monitored by the Security team to prevent misuse or theft."
"What is the cleaning and maintenance schedule?","• Dusting – Twice daily (Housekeeping)
 • Equipment sanitization – Daily
 • Equipment inspection – Weekly (FM)
 • Furniture check – Monthly
 • AC & lighting maintenance – Monthly
 • Pest control – Quarterly
 • Deep cleaning – Weekly (Monday)."
"What are the safety and conduct rules for users?","• Play safely and responsibly.
 • Avoid crowding beyond 10 people.
 • No running or rough play.
 • Respect fellow residents’ turns.
 • The Association is not liable for injuries caused by unsafe play."
"What are the Do’s for Games Room users?","✅ Do’s:
 • Use all equipment properly.
 • Keep the room tidy.
 • Report any issues to FM/Security.
 • Maintain silence and discipline.
 • Turn off lights and AC after use.
 • Respect CCTV monitoring."
"What are the Don’ts for Games Room users?","🚫 Don’ts:
 • Don’t allow children under 12 inside.
 • Don’t take equipment home.
 • Don’t eat, drink, or smoke inside.
 • Don’t damage or misuse furniture.
 • Don’t play roughly or argue.
 • Don’t tamper with CCTV or electrical fixtures.
 • Don’t host paid or betting activities."
"Who should residents contact for missing or damaged equipment?","Residents should report missing or damaged items to **Security or the Facility Manager**, who will escalate to the **Secretary** within 24 hours."
"What is the escalation matrix for Games Room issues?","• Missing/damaged items – Security/FM → Secretary (24 hrs)
 • Misuse/theft – FM → President/Board (Immediate)
 • Cleanliness issue – Housekeeping Supervisor → FM (1 hr)
 • Noise/disturbance – Security → FM (Immediate)
 • Repeat violations – FM → Association Board (24 hrs)."
"What logs and records are maintained?","• Daily cleaning & inspection log
 • Damage/incident register
 • Equipment condition & replacement log
 • CCTV review reports (if incidents occur)
 All records are maintained for **at least one year**."
"Who is accountable for Games Room operations?","• **Facility Manager:** Maintenance and issue tracking.
 • **Housekeeping Supervisor:** Daily cleaning and sanitization.
 • **Security Supervisor:** CCTV and access control.
 • **Residents:** Responsible use.
 • **Secretary:** Review of incidents.
 • **President/Board:** Final disciplinary authority."
"What is the purpose of the Guest Suite / Guest House SOP?","The SOP provides clear guidelines for booking, using, maintaining, and monitoring the Guest Suite at The ACE Apartments. It ensures fair access, hygiene, safety, and accountability while maintaining transparency in booking and payment processes."
"Who can book the Guest Suite?","Only registered residents (owners or tenants) can book the Guest Suite for accommodating their personal guests. Guests cannot directly request bookings."
"Where is the Guest Suite located?","The Guest Suite is located within the Clubhouse premises of The ACE Apartments, designed for short-term stays by resident guests."
"What are the booking timings and stay duration?","• Check-in: 12:00 PM
 • Check-out: 11:00 AM (next day)
 • Minimum booking: 1 night
 • Maximum stay: 3 consecutive nights (can be extended with approval from the Secretary)."
"How can residents book the Guest Suite?","Bookings can be made through:
 • The TAAOWA Office during working hours.
 • The MyGate app (if available under amenities).
 Residents must fill a Guest Suite Booking Form, provide guest details, and pay charges in advance."
"What documents are required for booking?","Residents must submit:
 • Guest’s valid ID proof (Aadhaar/Passport).
 • Resident’s flat number and contact details.
 • Booking form with signature.
 • Payment confirmation (advance)."
"Is advance payment mandatory?","Yes. Full advance payment is mandatory before check-in. Booking will be confirmed only after payment."
"Can residents cancel their booking?","Yes. Bookings can be cancelled with the following refund policy:
 • 24+ hrs before check-in – 100% refund.
 • Less than 24 hrs – 50% refund.
 • No-show – No refund."
"What amenities are available in the Guest Suite?","• Bed, mattress, linens, and pillows
 • Air conditioner and ceiling fan
 • Geyser and attached washroom
 • Drinking water and kettle
 • Wi-Fi and TV (if provided)
 • Table, chairs, and basic toiletries
 All amenities are maintained by UPS FM."
"Are cooking or pets allowed inside the Guest Suite?","Cooking, smoking, and pets are strictly prohibited inside the Guest Suite to maintain hygiene and prevent damage."
"What are the key usage rules for guests?","• Maintain cleanliness and decorum.
 • No smoking, alcohol, or loud noise.
 • Avoid rearranging furniture or removing items.
 • Do not host parties or non-resident visitors.
 • Report damages immediately.
 • Maximum occupancy: 2 adults and 1 child per room."
"Who is responsible for damages or losses in the Guest Suite?","The booking resident is fully responsible for any damage, loss, or misuse during the guest’s stay. Repair or replacement costs will be deducted from the security deposit or recovered directly."
"How is housekeeping managed?","• Pre-check-in cleaning: Housekeeping ensures cleanliness and replenishes supplies before guest arrival.
 • Mid-stay cleaning: Upon guest request, chargeable at ₹100 per cleaning.
 • Post-checkout cleaning: Conducted by FM team before next booking."
"Who handles the check-in and check-out process?","• **Check-in:** Guest registers at security, provides ID proof, and collects the key from the Facility Office.
 • **Check-out:** Room is inspected by housekeeping and FM before key return.
 • Deposit (if applicable) is refunded post-inspection."
"What are the Do’s for residents and guests?","✅ Do’s:
 • Maintain hygiene and respect the property.
 • Follow check-in/check-out timings.
 • Use appliances and utilities responsibly.
 • Report any issues immediately.
 • Cooperate with security and FM staff."
"What are the Don’ts for residents and guests?","🚫 Don’ts:
 • Don’t smoke or drink inside the suite.
 • Don’t host unregistered visitors.
 • Don’t damage furnishings or fittings.
 • Don’t use electrical items excessively.
 • Don’t tamper with CCTV or locks."
"What is the penalty for misuse or rule violations?","• ₹500 fine for smoking or alcohol use.
 • ₹1000 fine for damage or missing items.
 • Suspension of booking rights for repeated violations.
 • Severe misconduct escalated to the Association Board."
"Who is responsible for monitoring and maintenance of the Guest Suite?","• **Facility Manager:** Operational oversight and vendor coordination.
 • **Housekeeping Supervisor:** Cleanliness and inspection.
 • **Security:** Access control and record keeping.
 • **Secretary:** Approvals and financial review.
 • **President/Board:** Final oversight and policy changes."
"What records are maintained for Guest Suite usage?","• Booking register (manual/digital)
 • Payment and refund log
 • Guest ID copies
 • Cleaning and inspection checklist
 • Damage and penalty log
 • Monthly summary report to Board."
"What is the escalation process for issues related to the Guest Suite?","• Booking/payment issue – Resident → Facility Manager (Immediate)
 • Cleanliness issue – Resident → Housekeeping → FM (2 hrs)
 • Damage/dispute – FM → Secretary → President (24 hrs)
 • Repeated misuse – Secretary → Board (48 hrs)."
"Who is accountable for compliance and review of this SOP?","• **Facility Manager:** Operational compliance.
 • **Secretary:** Booking oversight and audit.
 • **President:** Final decision-making and policy updates.
 • **Board:** Annual SOP review and tariff revision."
"What is the purpose of this SOP?","This SOP provides structured guidelines for planning, organizing, and managing community festivals and events within The ACE Apartments. It ensures safety, fairness, and community engagement while maintaining discipline and order."
"Who does this SOP apply to?","It applies to:
 • Residents and vendors participating in community events.
 • UPS Facility Management (FM), Security, and Housekeeping staff managing event operations.
 • The Association Managing Committee overseeing approvals and compliance."
"What are the main objectives of this SOP?","• Foster community engagement and cultural unity.
 • Ensure fair and transparent stall allocation.
 • Maintain event safety, hygiene, and decorum.
 • Enforce accountability for payments and compliance."
"What types of events are covered under this SOP?","All Association-organized or community-driven events such as Independence Day, Diwali, Christmas, Pongal, and New Year celebrations."
"How are community events approved?","All events must be pre-approved by the Association Managing Committee. An Event Committee or Subcommittee may be formed to manage planning, logistics, and resident communication."
"What are the responsibilities of the Event Committee?","• Define event schedule and layout.
 • Coordinate with FM, Security, and Housekeeping.
 • Inform residents at least 7 days in advance via MyGate or circular.
 • Ensure events conclude by 10:00 PM to comply with noise norms."
"What is the maximum time an event can run?","Events must end by **10:00 PM** sharp in compliance with local noise regulations and civic norms."
"How is stall allocation managed?","• Stall size: 6x6 ft per stall
 • Furniture provided: 2 tables + 2 chairs
 • Fee: ₹2,500 for entire event duration
 • Allocation: First-come, first-served basis via Facility Office or MyGate.
 • Payment: Advance payment required via UPI, transfer, or cash."
"Who can book stalls?","Eligible participants include residents, resident-owned businesses, and pre-approved vendors only."
"What are the setup and dismantling timelines for stalls?","• Setup allowed: 2 hours before event start.
 • Dismantling: Within 1 hour after event ends.
 • Stalls must be cleared and cleaned before leaving."
"What are the payment and refund rules?","• Stall fee: ₹2,500, payable during booking.
 • No refunds for cancellations within 48 hours of the event.
 • Full refund if event is canceled by the Association.
 • Extra charges may apply for electricity use."
"What items or activities are not allowed in stalls?","🚫 Prohibited:
 • Open flames or gas stoves (unless pre-approved).
 • Alcohol, tobacco, or objectionable materials.
 • Loud or disruptive music.
 • Hazardous items or sharp tools.
 • Blocking of walkways or fire exits."
"What are the general event conduct rules for all participants?","• Maintain discipline and respect community spirit.
 • Use Association-approved sound systems.
 • Keep volume within permitted levels.
 • No unauthorized banners, posters, or branding.
 • Supervise children and avoid crowding.
 • Pets are not allowed in event zones."
"How is safety and security ensured during events?","• Safe electrical connections and fire extinguishers at event sites.
 • Security and crowd management by UPS FM.
 • CCTV surveillance during the event.
 • Waste bins placed throughout venue.
 • Housekeeping for cleanup before and after events."
"What are the Do’s for event participants?","✅ Do’s:
 • Book stalls only via official channels.
 • Follow 6x6 ft stall limit.
 • Pay stall charges in advance.
 • Keep area clean.
 • Use only approved electrical equipment.
 • Report safety issues promptly.
 • Cooperate with FM, Security, and Event Committee."
"What are the Don’ts for stallholders and participants?","🚫 Don’ts:
 • Don’t exceed stall boundaries.
 • Don’t bring extra furniture or extensions.
 • Don’t cook with open flames.
 • Don’t sell restricted products.
 • Don’t play loud or offensive music.
 • Don’t block walkways or exits.
 • Don’t leave waste or decorations behind."
"What penalties apply for violations?","• ₹500 penalty for waste left behind.
 • Stall cancellation for repeated violations.
 • Expulsion of vendor for safety or rule breaches."
"What is the escalation process for event-related issues?","• Stall booking/payment – Facility Manager → Treasurer (24 hrs)
 • Layout or space issue – Event Committee → Secretary (Immediate)
 • Electrical/safety concern – FM/Security → President (Immediate)
 • Cleanliness issue – Housekeeping → FM (1 hr)
 • Misuse or violation – Security → FM/President (Immediate)."
"What records are maintained for festival and event management?","• Stall Booking Register (with resident details & payments)
 • Event layout plan and permissions
 • Vendor/electricity approvals
 • Incident or damage reports
 • Payment ledger and receipts
 All records are maintained for at least 2 years."
"Who is accountable for event management and compliance?","• **Event Committee:** Plan and supervise event.
 • **Facility Manager:** Manage logistics and safety.
 • **Security Supervisor:** Ensure order and crowd control.
 • **Housekeeping Supervisor:** Maintain cleanliness.
 • **Treasurer:** Manage payments.
 • **Secretary:** Enforce policies.
 • **President/Board:** Final approval and dispute resolution."
"What is the purpose of the Pet Policy SOP?","The SOP promotes safe, hygienic, and responsible pet ownership within The ACE Apartments. It ensures pets do not cause nuisance, harm, or hygiene issues while promoting a balanced community environment."
"Who does this SOP apply to?","It applies to all residents (owners and tenants) of TAAOWA who own pets, their domestic helpers or pet caretakers, and the Association staff including Facility Management, Security, and Housekeeping."
"What are the main objectives of this SOP?","• Ensure all pets are registered and vaccinated.
 • Prevent hazards like waste, noise, or aggression.
 • Maintain hygiene in common areas.
 • Define clear responsibilities and escalation procedures."
"What are the legal requirements for pet ownership in Tamil Nadu?","According to the Greater Chennai Corporation (GCC) rules, pet dogs must be licensed and kept leashed in public areas. Non-licensed or unleashed dogs can attract fines (up to ₹5,000) under municipal laws. Apartment associations cannot impose fines beyond those defined by law."
"Is pet registration mandatory in the community?","Yes. Every resident owning a pet must register the pet with the Association within 30 days of acquiring it, providing the name, breed, age, vaccination certificate, and local body licence/registration."
"What documents are required for pet registration?","• Pet details (name, breed, age)
 • Vaccination certificate (valid rabies proof)
 • Licence/registration from GCC or local body
 • Owner’s flat number and contact details
 • Pet ID tag information (flat number and owner contact)."
"What are the vaccination and health requirements for pets?","Pets must have valid vaccinations as recommended by a veterinarian, including rabies for dogs. Pets must be de-fleed, healthy, and free from contagious diseases. Any aggressive or infected pet should be isolated and reported to the Facility Manager."
"Are pets allowed in common areas?","Yes, but only under strict supervision. Pets must always be leashed and under the control of their owner in lobbies, parks, or driveways. Free roaming or unsupervised pets are not allowed."
"How should pet waste be handled?","Owners must immediately collect and dispose of pet waste in designated bins. Leaving waste in gardens, lawns, or common areas is prohibited."
"Can pets use the children’s play area or pool?","No. Pets are not allowed in children’s play areas, sand pits, or pools for safety and hygiene reasons."
"What happens if a pet damages common property or disturbs others?","The owner must compensate for repair or replacement costs. Repeated violations (aggressive pets, noise, or hygiene issues) may lead to restricted pet access or removal from premises after review by the Board."
"Can the Association impose fines on pet owners?","No. As per legal rulings, apartment associations cannot impose arbitrary fines on pet owners unless supported by municipal law. However, the Association can recover repair costs or restrict pet access for repeated non-compliance."
"What are the key Do’s for pet owners?","✅ Do’s:
 • Register your pet with the Association and local body.
 • Keep vaccinations updated.
 • Keep pets leashed in all common areas.
 • Clean pet waste immediately.
 • Report any aggression or damage to Facility Manager.
 • Be considerate of other residents."
"What are the Don’ts for pet owners?","🚫 Don’ts:
 • Don’t keep unregistered or unlicensed pets.
 • Don’t allow pets to roam unsupervised.
 • Don’t leave waste in parks or play areas.
 • Don’t allow barking or aggressive pets to disturb others.
 • Don’t expect the Association to enforce rules outside the scope of law."
"What is the escalation process for pet-related issues?","• Unregistered pets – Facility Manager → Secretary (7 days to comply)
 • Leash violations – Security → Facility Manager (Immediate warning)
 • Property damage – Facility Manager → Owner (24 hrs recovery)
 • Aggressive behaviour – Facility Manager → Pet Committee/Board (Immediate review)
 • Legal non-compliance – Owner → Local Authority → Facility Manager (As per schedule)."
"What records are maintained for pets?","• Pet Register (name, flat, breed, licence)
 • Vaccination and licence copies
 • Incident log (complaints, damage reports)
 • Vet and maintenance records (if any)
 All records are retained for at least 2 years."
"Who is responsible for monitoring and enforcement of the Pet Policy?","• **Resident Pet Owner:** Follow all rules and maintain registration.
 • **Facility Manager:** Maintain pet register and coordinate with authorities.
 • **Security Supervisor:** Enforce leash and access rules.
 • **Housekeeping Supervisor:** Report pet waste or damage.
 • **Secretary & Board:** Handle repeated violations and policy updates."
"Association name","TAAOWA - The ACE Apartment Owners Welfare Association"
"where can I find the SOPs?","MyGate -> Search icon on top right corner (near profile icon) -> search for ""Documents"""
"Terms and conditions of using TARA or whatsapp chatbot by TAAOWA","By continuing, you are accepting the Terms & Conditions of using TARA – The ACE Residents' Assistant by TAAOWA.

By continuing to use this chatbot, you agree to the following:

• You confirm that you are a resident or authorized member of TAAOWA.
• You consent to the collection of your WhatsApp number, name, flat details, and messages for association-related purposes.
• Information will be used only for announcements, maintenance updates, service requests, complaints, event information, and official communication.
• Your data will not be sold or shared with unauthorized third parties, except where required by law or for authorized service support.
• Chatbot responses are automated and for informational purposes; official committee communications will prevail in case of any discrepancy.
• Misuse, abusive language, or inappropriate messages may result in restricted access.
• Continued interaction with TARA constitutes your acceptance of these terms."
"Who is the prime minister of India?","modai"
